uid,NAME_CONTRACT_TYPE,TARGET
ABA13317864,cash loans,0
ABA25807437,cash loans,0
ABA79228368,cash loans,0
ABB34452174,cash loans,0
ABB51908055,cash loans,0
ABB65464449,cash loans,0
ABB71840322,cash loans,0
ABB73845768,cash loans,0
ABB93876282,cash loans,0
ABC17159652,cash loans,0
ABC47958903,revolving loans,0
ABC79144211,cash loans,0
ABD08902425,revolving loans,0
ABD10730655,cash loans,0
ABD73611607,cash loans,0
ABD92693136,cash loans,0
ABE00517715,cash loans,0
ABE17327297,cash loans,0
ABE68859232,cash loans,0
ABF37102746,revolving loans,0
ABF38795667,cash loans,0
ABG41429583,cash loans,0
ABG59414792,cash loans,0
ABG77085305,cash loans,0
ABH25442926,cash loans,0
ABH26886235,cash loans,0
ABH75107071,cash loans,0
ABI08917853,cash loans,0
ABI51126951,cash loans,0
ABJ09085353,cash loans,0
ABJ28574609,cash loans,0
ABJ55035749,cash loans,0
ABK83138417,cash loans,0
ABK88507303,cash loans,0
ABL07995655,cash loans,0
ABL80486476,cash loans,0
ABM03116355,revolving loans,0
ABM11047054,cash loans,0
ABM32384207,cash loans,0
ABN62132573,cash loans,0
ABO63943262,cash loans,0
ABO92858154,cash loans,0
ABP55077125,cash loans,0
ABP91616935,cash loans,0
ABR02379213,cash loans,0
ABR56142584,revolving loans,0
ABR57835790,cash loans,0
ABS12491044,cash loans,0
ABS41261467,cash loans,0
ABS77589417,cash loans,0
ABT76162204,revolving loans,0
ABU08370354,cash loans,0
ABU36728177,revolving loans,0
ABU60889548,cash loans,0
ABV77998772,cash loans,0
ABV80289063,cash loans,0
ABX03754688,cash loans,0
ABX48560561,cash loans,0
ABY41934518,cash loans,0
ABY61158088,cash loans,0
ABY64490218,cash loans,0
ABY67575910,cash loans,0
ABY83400409,cash loans,0
ABZ16443315,cash loans,0
ABZ81655827,cash loans,0
ACB64406886,cash loans,0
ACB71641015,cash loans,0
ACB90239069,cash loans,0
ACB91558938,cash loans,0
ACB98081985,cash loans,0
ACC23513328,cash loans,0
ACD12125748,cash loans,0
ACD36850929,cash loans,0
ACD60423240,cash loans,0
ACE30302489,cash loans,0
ACF10732513,cash loans,0
ACF74784289,revolving loans,0
ACF76251288,cash loans,0
ACH06738465,cash loans,0
ACH18693725,cash loans,0
ACH30803744,revolving loans,0
ACH58624176,cash loans,0
ACH94821076,cash loans,0
ACJ87832180,cash loans,0
ACK24006314,revolving loans,0
ACK64414548,cash loans,0
ACK87327399,cash loans,0
ACK93366267,cash loans,0
ACL03800977,cash loans,0
ACL52329839,cash loans,0
ACL59106566,cash loans,0
ACL68511718,cash loans,0
ACN09962951,cash loans,0
ACN81555575,cash loans,0
ACO33367188,cash loans,0
ACO67922985,revolving loans,0
ACP03298311,cash loans,0
ACP54587738,cash loans,0
ACP55179735,cash loans,0
ACP57734533,cash loans,0
ACP86182584,cash loans,0
ACP92234980,cash loans,0
ACQ91837107,revolving loans,0
ACQ92495623,cash loans,0
ACQ95543783,cash loans,0
ACR06995193,cash loans,0
ACR66006631,cash loans,0
ACS09392862,cash loans,0
ACS11568046,cash loans,0
ACS14933700,cash loans,0
ACS49559468,cash loans,0
ACS71453303,cash loans,0
ACT04368983,revolving loans,0
ACT44310108,revolving loans,0
ACT83471669,cash loans,0
ACU89974765,cash loans,0
ACV24888207,cash loans,0
ACV70920808,cash loans,0
ACW04754271,revolving loans,0
ACW30489895,cash loans,0
ACW41498423,cash loans,0
ACW80741538,cash loans,0
ACX82112984,cash loans,0
ACY21276800,cash loans,0
ACY83121204,cash loans,0
ACZ05504374,cash loans,0
ACZ10745522,cash loans,0
ACZ13361753,cash loans,0
ADA37853748,cash loans,0
ADA86728817,cash loans,0
ADA88783483,cash loans,0
ADB00529815,revolving loans,0
ADB29823213,cash loans,0
ADB91462070,cash loans,0
ADD29621437,cash loans,0
ADD34804585,cash loans,0
ADD84421305,revolving loans,0
ADD99938271,cash loans,0
ADE06590285,cash loans,0
ADE41322417,cash loans,0
ADE51286248,cash loans,0
ADE98790855,cash loans,0
ADF13427511,cash loans,0
ADF36023639,cash loans,0
ADF61744176,cash loans,0
ADF83214586,cash loans,0
ADG73244772,cash loans,0
ADG86203714,revolving loans,0
ADH09241011,cash loans,0
ADH67898450,cash loans,0
ADH74241589,cash loans,0
ADI10998799,cash loans,0
ADI22770578,cash loans,0
ADI25297010,cash loans,0
ADI58556323,cash loans,0
ADJ41656872,cash loans,0
ADK48447764,cash loans,0
ADK52356737,cash loans,0
ADK68540743,cash loans,0
ADK77467714,cash loans,0
ADL77831745,cash loans,0
ADL86298601,cash loans,0
ADM04022166,cash loans,0
ADM48942112,cash loans,0
ADM75920146,cash loans,0
ADM92815485,cash loans,0
ADN53592263,cash loans,1
ADN68192823,cash loans,0
ADO22314027,cash loans,0
ADO52435603,cash loans,0
ADO74418633,cash loans,0
ADO87419866,cash loans,0
ADP37516583,revolving loans,0
ADP97491788,cash loans,0
ADQ05650928,cash loans,0
ADQ37908064,cash loans,0
ADQ65357667,cash loans,0
ADQ97219168,cash loans,0
ADR12583332,cash loans,0
ADR35299307,cash loans,0
ADS38566120,revolving loans,0
ADS49869366,revolving loans,0
ADT25991436,cash loans,0
ADU09671588,cash loans,0
ADV17962073,cash loans,0
ADV61361644,cash loans,0
ADW06993169,cash loans,0
ADX04683248,cash loans,0
ADX85545928,cash loans,0
ADY29759346,cash loans,0
ADZ17402133,cash loans,0
ADZ48406239,cash loans,0
ADZ56349955,cash loans,0
ADZ86213418,cash loans,0
AEA39989296,cash loans,0
AEA55931584,cash loans,0
AEA81026000,cash loans,0
AEB00770801,revolving loans,0
AEB96869536,cash loans,0
AEB97532057,cash loans,0
AEC03152009,cash loans,0
AEC50212068,cash loans,0
AEC62373158,cash loans,0
AED07350631,cash loans,0
AED08821932,cash loans,0
AED26184742,cash loans,0
AED28470106,cash loans,0
AED41880105,cash loans,0
AEE12227767,cash loans,1
AEE23284125,cash loans,0
AEE48243487,cash loans,0
AEF12992254,cash loans,0
AEF57598168,cash loans,0
AEF85277158,cash loans,0
AEG08887581,cash loans,0
AEH42288064,cash loans,0
AEH47901485,cash loans,0
AEH55770414,cash loans,0
AEH55831095,cash loans,0
AEI14968870,cash loans,0
AEI31028625,cash loans,1
AEI46816505,cash loans,0
AEI76770994,revolving loans,0
AEI79134838,cash loans,0
AEJ17963572,cash loans,0
AEJ21385689,cash loans,0
AEK11480126,cash loans,0
AEK26379159,cash loans,0
AEK88063607,cash loans,0
AEL06664103,cash loans,0
AEL29714514,cash loans,0
AEL31887515,cash loans,0
AEL45295591,cash loans,0
AEM56394132,cash loans,0
AEM83506602,cash loans,0
AEN46461966,cash loans,0
AEN55730930,cash loans,0
AEO34411929,cash loans,0
AEO59803685,cash loans,0
AEO64631811,cash loans,0
AEO82944582,cash loans,0
AEO90994626,cash loans,0
AEP15448722,cash loans,0
AEP99118562,cash loans,0
AEQ12919935,cash loans,0
AEQ33251948,cash loans,0
AER58510201,cash loans,0
AES32238009,cash loans,0
AES80619951,cash loans,0
AET01806598,cash loans,0
AET62472140,cash loans,0
AEU12692595,cash loans,0
AEU59316848,cash loans,0
AEV10716298,cash loans,0
AEV48253134,revolving loans,0
AEV67590696,revolving loans,0
AEW12269113,cash loans,0
AEW17298157,cash loans,0
AEW28255006,cash loans,0
AEW66052530,cash loans,0
AEX07875898,cash loans,0
AEY29992242,cash loans,0
AEY72032005,cash loans,0
AEY80420942,cash loans,0
AEY80428904,cash loans,0
AEZ02365596,cash loans,0
AEZ02594601,cash loans,0
AEZ35227467,cash loans,0
AEZ37453939,cash loans,0
AFA12889952,cash loans,0
AFB04457366,cash loans,0
AFB62245932,cash loans,0
AFC62321178,cash loans,0
AFD03172356,cash loans,0
AFD28441871,cash loans,0
AFD62447601,cash loans,0
AFE40924712,cash loans,0
AFE88774893,cash loans,0
AFE90413969,cash loans,0
AFF23778681,cash loans,0
AFF64963110,cash loans,0
AFG00226612,cash loans,0
AFG05706096,cash loans,0
AFG53254464,cash loans,0
AFG76304640,cash loans,0
AFG91382199,cash loans,0
AFH50829698,cash loans,0
AFH57466175,cash loans,0
AFH60620332,revolving loans,0
AFH75316004,cash loans,0
AFH76268765,cash loans,0
AFH78450222,cash loans,0
AFI36343373,cash loans,0
AFI71196217,revolving loans,0
AFI77805161,cash loans,0
AFI85614866,cash loans,0
AFJ96773932,cash loans,0
AFK24696854,cash loans,0
AFK30746618,cash loans,0
AFK92304511,cash loans,0
AFL21813766,cash loans,0
AFL33216718,cash loans,0
AFL44721131,cash loans,0
AFL46855708,cash loans,0
AFL53443893,cash loans,0
AFL88980180,cash loans,0
AFM58457937,cash loans,0
AFN68252526,cash loans,0
AFN70655399,cash loans,0
AFO35337285,cash loans,0
AFO40527620,cash loans,0
AFO45554152,revolving loans,0
AFO63463082,revolving loans,0
AFP14331577,cash loans,0
AFP21005214,cash loans,0
AFP38619175,cash loans,0
AFP52280219,cash loans,0
AFP65099449,cash loans,0
AFP87571758,cash loans,0
AFQ11678340,cash loans,0
AFQ59146134,cash loans,0
AFQ72321271,cash loans,0
AFQ99343505,cash loans,0
AFR10364235,cash loans,0
AFR85591788,cash loans,0
AFR96294068,cash loans,0
AFR97793794,cash loans,0
AFS16505946,cash loans,0
AFS31907413,cash loans,0
AFS76233607,revolving loans,0
AFT17280404,cash loans,0
AFT91055949,cash loans,0
AFU07169931,revolving loans,0
AFU15918277,cash loans,0
AFU22629193,cash loans,0
AFU72935605,cash loans,0
AFV16832409,cash loans,0
AFV98854928,cash loans,0
AFW31156556,cash loans,0
AFW72451187,cash loans,0
AFX40586900,cash loans,0
AFX97946891,cash loans,0
AFY07308635,revolving loans,0
AFY13222988,cash loans,0
AFY71616381,revolving loans,0
AFZ37686108,cash loans,0
AFZ50645730,cash loans,0
AFZ55294962,cash loans,0
AFZ78094866,cash loans,0
AGA57001906,cash loans,0
AGA65308401,cash loans,0
AGA66107182,cash loans,0
AGA95945507,cash loans,0
AGB58418344,cash loans,0
AGB94847955,revolving loans,0
AGC38680556,cash loans,0
AGC79583812,cash loans,0
AGD02607389,cash loans,1
AGD49392731,cash loans,0
AGD98232267,cash loans,0
AGE53090972,cash loans,0
AGE53299826,cash loans,0
AGE64103266,cash loans,0
AGF29198116,cash loans,0
AGF84872086,revolving loans,0
AGG00675242,cash loans,0
AGG16550554,cash loans,0
AGG82254457,cash loans,0
AGG82742156,cash loans,0
AGH08213588,cash loans,0
AGH16097557,cash loans,0
AGH77364669,cash loans,0
AGI00541439,revolving loans,0
AGI28870341,cash loans,0
AGI43614551,cash loans,1
AGJ63178542,cash loans,0
AGJ86543279,revolving loans,0
AGK37693373,cash loans,0
AGK54365132,cash loans,0
AGK98982922,cash loans,0
AGL21012621,cash loans,0
AGL66930297,cash loans,0
AGL98370737,cash loans,0
AGM06355427,cash loans,0
AGM59774636,cash loans,0
AGN40224969,cash loans,0
AGN43201987,cash loans,0
AGO08211290,cash loans,0
AGO61953419,cash loans,0
AGQ39096627,cash loans,0
AGR39262269,cash loans,0
AGR96542397,cash loans,0
AGS00913123,cash loans,0
AGS11034647,cash loans,0
AGT03397895,cash loans,0
AGT14907364,cash loans,0
AGT17236125,cash loans,0
AGU05987186,cash loans,0
AGU13650550,revolving loans,0
AGV22418045,cash loans,0
AGV33167347,cash loans,0
AGW84347542,cash loans,0
AGX03011278,cash loans,0
AGY63751917,cash loans,0
AGZ07642275,cash loans,0
AGZ58857563,cash loans,0
AGZ86764694,cash loans,0
AHA11549906,revolving loans,0
AHA25335318,cash loans,0
AHA77425218,cash loans,0
AHB03164574,cash loans,0
AHB46596620,cash loans,0
AHB62497152,cash loans,0
AHB76987896,cash loans,0
AHC14736261,cash loans,0
AHC58309661,cash loans,0
AHC80425672,cash loans,0
AHC97589002,cash loans,0
AHD17562538,cash loans,0
AHD58617132,cash loans,0
AHE02831572,cash loans,0
AHE07171602,cash loans,0
AHE15867686,cash loans,0
AHF00794658,cash loans,0
AHF49366248,cash loans,0
AHI34826719,cash loans,0
AHI49717904,cash loans,0
AHJ00067922,cash loans,0
AHJ64030861,cash loans,0
AHK04133093,cash loans,0
AHK25966074,cash loans,0
AHK44042493,cash loans,0
AHK76679073,revolving loans,0
AHL70901031,cash loans,0
AHM03033906,cash loans,0
AHM06715309,cash loans,0
AHM57790388,revolving loans,0
AHN02924967,cash loans,0
AHN08777903,cash loans,0
AHN67114812,cash loans,0
AHN93294240,cash loans,0
AHO11716991,cash loans,0
AHO21559125,cash loans,0
AHO73131528,cash loans,0
AHO90135727,cash loans,0
AHO91253041,cash loans,0
AHO92546744,cash loans,0
AHO98288455,cash loans,0
AHP64091390,revolving loans,0
AHR12185946,cash loans,0
AHR15565504,revolving loans,0
AHR81975649,cash loans,0
AHR98710902,cash loans,0
AHS18466751,cash loans,0
AHS32627723,cash loans,0
AHS98845029,cash loans,0
AHT18871169,cash loans,0
AHT96179270,cash loans,0
AHU20627166,cash loans,0
AHU25963714,cash loans,0
AHU97731935,cash loans,0
AHV01783508,cash loans,0
AHV16316648,cash loans,0
AHV23912674,cash loans,0
AHV88348426,revolving loans,0
AHV90877854,revolving loans,0
AHW83162672,cash loans,0
AHX42753458,cash loans,0
AHX74872956,cash loans,0
AHX92728117,cash loans,0
AHY28259520,cash loans,0
AHY41383736,revolving loans,0
AHY56369230,cash loans,0
AHZ00199289,cash loans,0
AHZ43053472,cash loans,0
AHZ98630361,cash loans,0
AIA03412793,cash loans,0
AIA78651161,cash loans,0
AIB35175833,cash loans,0
AIB80813422,cash loans,0
AIC82187792,cash loans,0
AID32517517,cash loans,0
AID43017489,cash loans,0
AID54671919,cash loans,0
AIE27920428,cash loans,0
AIE52366218,cash loans,0
AIE70775556,cash loans,0
AIF05224684,cash loans,0
AIF06212540,cash loans,0
AIF69157457,cash loans,0
AIG11703472,revolving loans,0
AIG16001773,cash loans,0
AIG23965261,cash loans,0
AIH09356241,cash loans,0
AIH11686149,revolving loans,0
AIH96375260,cash loans,0
AII00566261,revolving loans,0
AII04189355,revolving loans,0
AII19324278,revolving loans,0
AII24435375,cash loans,0
AII33808092,revolving loans,0
AII94535777,cash loans,0
AIJ56746922,cash loans,0
AIK72627922,cash loans,0
AIK80556909,cash loans,0
AIL09688335,cash loans,0
AIM01807884,revolving loans,0
AIM04385550,cash loans,0
AIM28752636,cash loans,0
AIM30804463,cash loans,0
AIM57097052,cash loans,0
AIM62187114,cash loans,0
AIM90458504,cash loans,1
AIN51040494,cash loans,0
AIN62316589,revolving loans,0
AIO03105591,cash loans,0
AIP39885875,cash loans,0
AIQ62111644,cash loans,0
AIQ75766989,cash loans,0
AIQ96374200,cash loans,0
AIR26821074,cash loans,0
AIR28963140,cash loans,0
AIR47284618,cash loans,0
AIS35709193,cash loans,0
AIS79861589,cash loans,0
AIT55346769,cash loans,0
AIT80773433,cash loans,0
AIU30889041,cash loans,0
AIU39486584,cash loans,0
AIU44512320,cash loans,0
AIV01957554,revolving loans,0
AIV33014152,revolving loans,0
AIV55584669,cash loans,0
AIV70495415,cash loans,0
AIW50415334,cash loans,0
AIX05658189,cash loans,0
AIX22998883,cash loans,0
AIY22115923,cash loans,0
AIY46451776,cash loans,0
AIY63679454,cash loans,0
AIZ26281815,cash loans,0
AIZ78633469,cash loans,0
AIZ96547818,cash loans,0
AJA29053256,cash loans,0
AJB57967781,cash loans,0
AJC10604890,cash loans,0
AJC23195266,cash loans,0
AJD74751264,revolving loans,0
AJE71042786,cash loans,0
AJF04559656,cash loans,0
AJF09797556,cash loans,0
AJF28959480,cash loans,0
AJF44063249,cash loans,0
AJF82841994,revolving loans,0
AJF85863661,cash loans,0
AJF90124142,cash loans,0
AJF99518871,cash loans,0
AJG03940111,cash loans,0
AJH00260981,cash loans,0
AJH61528008,cash loans,0
AJH66743880,cash loans,0
AJJ23136045,cash loans,0
AJK11726679,cash loans,0
AJK19394414,cash loans,0
AJL01776721,cash loans,0
AJL49275102,cash loans,0
AJM88030410,cash loans,0
AJN51649498,revolving loans,0
AJN71814773,cash loans,0
AJN74559921,cash loans,0
AJP12940905,cash loans,0
AJP84985706,cash loans,0
AJQ74327674,cash loans,0
AJR43927748,cash loans,0
AJR67589257,revolving loans,0
AJR74625466,cash loans,0
AJR74952025,cash loans,0
AJR79357846,cash loans,0
AJR86724895,cash loans,0
AJS04712245,cash loans,0
AJS67716915,cash loans,0
AJU07613074,cash loans,0
AJU23194813,cash loans,0
AJU31955831,cash loans,0
AJU63998059,cash loans,0
AJV07690881,cash loans,0
AJV09594534,cash loans,0
AJV33493322,cash loans,0
AJV55385861,cash loans,0
AJV69039102,cash loans,0
AJV75063814,cash loans,0
AJV75496224,cash loans,0
AJW62491410,cash loans,0
AJW74686974,cash loans,0
AJW87467858,cash loans,0
AJW88499320,cash loans,0
AJX66818502,cash loans,0
AJX66931517,cash loans,0
AJX84990440,cash loans,0
AJY07520302,cash loans,0
AJY39508842,cash loans,0
AJY48946430,cash loans,0
AJZ27528553,cash loans,0
AJZ51837628,cash loans,0
AKA34461589,cash loans,0
AKA45205358,cash loans,0
AKA54759446,cash loans,0
AKB81635262,cash loans,0
AKC42149530,cash loans,0
AKC99377772,cash loans,0
AKD09587656,revolving loans,0
AKD11979396,cash loans,0
AKD51638725,cash loans,0
AKD90577231,cash loans,0
AKD99338983,revolving loans,1
AKE71495211,cash loans,0
AKE92097465,cash loans,0
AKF72945700,cash loans,0
AKF83273760,cash loans,0
AKG23138692,cash loans,0
AKG34890209,cash loans,0
AKH13782516,revolving loans,0
AKH50492704,cash loans,0
AKJ23821805,cash loans,0
AKJ32076632,cash loans,0
AKJ37420109,cash loans,0
AKJ48614446,cash loans,0
AKJ64493812,revolving loans,0
AKK37492216,cash loans,0
AKL46620961,cash loans,0
AKL61938488,cash loans,0
AKL92561210,revolving loans,0
AKN04811210,cash loans,0
AKN18291476,cash loans,0
AKN18783645,cash loans,0
AKN64214207,cash loans,0
AKN72838362,cash loans,0
AKN88609667,cash loans,0
AKN94179339,cash loans,0
AKO10658492,cash loans,0
AKO73631794,cash loans,0
AKP08153979,cash loans,0
AKP85003000,cash loans,0
AKQ52251777,cash loans,0
AKR75804635,cash loans,0
AKR92804254,cash loans,0
AKS16162993,revolving loans,0
AKS72546041,cash loans,0
AKV03618033,cash loans,0
AKV33656427,cash loans,0
AKV48857706,cash loans,0
AKV59645808,cash loans,0
AKW31355054,cash loans,0
AKW93468420,cash loans,0
AKX09595275,cash loans,0
AKX55345237,cash loans,0
AKX94599287,cash loans,0
AKY45414453,cash loans,0
AKY82091379,revolving loans,0
AKY90944456,cash loans,0
AKZ83472694,revolving loans,0
AKZ99082531,cash loans,0
ALA37970793,cash loans,0
ALA89918974,revolving loans,0
ALA98928965,cash loans,0
ALB78574675,cash loans,0
ALC12291897,cash loans,0
ALC32758725,cash loans,0
ALD00163345,cash loans,0
ALD03440380,cash loans,0
ALD16618316,cash loans,0
ALD17853299,cash loans,0
ALD48998974,cash loans,0
ALD59657689,cash loans,0
ALD77931495,cash loans,0
ALE03387415,revolving loans,0
ALE85725779,cash loans,0
ALE89376894,revolving loans,0
ALF07447193,cash loans,0
ALF37833091,cash loans,0
ALF53400170,revolving loans,0
ALF69773709,cash loans,0
ALG01064498,cash loans,0
ALG04224680,cash loans,0
ALG30857371,cash loans,0
ALG65360521,cash loans,0
ALG81917975,cash loans,0
ALG97124795,cash loans,0
ALH09455668,cash loans,0
ALH98860290,cash loans,0
ALI83950008,cash loans,0
ALI88315668,revolving loans,0
ALI91232930,revolving loans,0
ALJ25881556,cash loans,0
ALJ84789737,revolving loans,0
ALL16135281,revolving loans,0
ALL96534424,revolving loans,0
ALM11759178,revolving loans,0
ALM77493170,cash loans,0
ALN22679881,revolving loans,0
ALN63106525,cash loans,0
ALN92654756,revolving loans,0
ALO48695082,cash loans,0
ALP15835590,cash loans,0
ALP47737264,revolving loans,0
ALP52456170,cash loans,0
ALP75807877,cash loans,0
ALQ15599652,cash loans,0
ALQ43052019,cash loans,0
ALQ45587674,cash loans,0
ALQ59576891,revolving loans,0
ALQ65802298,cash loans,0
ALR09811856,cash loans,0
ALR51443418,cash loans,0
ALR87904744,cash loans,0
ALS17059137,cash loans,0
ALT62457336,cash loans,0
ALT64596386,cash loans,1
ALU32511328,cash loans,0
ALU42012300,cash loans,0
ALU60115653,cash loans,0
ALU78152981,cash loans,0
ALV23217499,cash loans,0
ALV42834342,revolving loans,0
ALV46898108,cash loans,0
ALW14281752,cash loans,0
ALW60921357,cash loans,0
ALW79569944,cash loans,0
ALX48457251,cash loans,0
ALX91742210,cash loans,0
ALY41121801,cash loans,0
ALZ80038405,cash loans,0
ALZ84862851,revolving loans,0
ALZ96351030,cash loans,0
AMA18456269,cash loans,0
AMA18896436,cash loans,0
AMA48490948,cash loans,0
AMC15764567,cash loans,0
AMD08579589,cash loans,0
AMD14466586,revolving loans,0
AMD42908513,cash loans,0
AMD83676683,cash loans,0
AME99875904,cash loans,0
AMF16910114,cash loans,0
AMG37391248,cash loans,0
AMG60666597,cash loans,0
AMG72936300,cash loans,0
AMH05298961,cash loans,0
AMH36286806,cash loans,0
AMH40517640,cash loans,0
AMH53956895,revolving loans,0
AMI05945457,cash loans,0
AMI97950101,cash loans,0
AMJ89667527,cash loans,0
AMK13226265,cash loans,0
AMK20566703,cash loans,0
AML29676467,cash loans,0
AML54336031,cash loans,0
AML65566137,cash loans,0
AML70989714,cash loans,0
AMM03459011,cash loans,0
AMM13733612,revolving loans,0
AMN05126596,cash loans,1
AMN18342689,revolving loans,0
AMN80110122,cash loans,0
AMO36802618,cash loans,0
AMO55243811,cash loans,0
AMO95814587,cash loans,0
AMP41088693,cash loans,0
AMP61406915,cash loans,0
AMP77349362,cash loans,0
AMP84832101,cash loans,0
AMQ47756517,cash loans,0
AMQ56126355,cash loans,0
AMQ61883950,cash loans,0
AMQ74703858,cash loans,0
AMQ90783475,cash loans,0
AMQ93431312,cash loans,0
AMR12762379,cash loans,0
AMS12847972,cash loans,0
AMS38866513,cash loans,0
AMT61032063,cash loans,0
AMT61667971,cash loans,0
AMT80122016,cash loans,0
AMU25390935,revolving loans,0
AMU26467586,revolving loans,0
AMU56549583,cash loans,0
AMV29352778,revolving loans,0
AMV48550582,cash loans,0
AMW26359327,cash loans,0
AMW38004844,cash loans,0
AMW46641727,cash loans,0
AMW51846829,cash loans,0
AMW59797061,cash loans,0
AMX88972080,cash loans,0
AMY38871971,cash loans,0
AMZ14709286,cash loans,0
AMZ19289145,cash loans,0
AMZ33837348,cash loans,0
AMZ37649608,cash loans,0
ANB07632612,cash loans,0
ANC12515776,cash loans,0
ANC21033981,cash loans,0
ANC43706823,revolving loans,0
ANC49802326,cash loans,0
AND38132880,cash loans,0
AND44572154,cash loans,0
ANE41690929,cash loans,0
ANF70315616,cash loans,0
ANG51517714,revolving loans,0
ANG53485559,cash loans,0
ANG71149610,revolving loans,0
ANG86500672,cash loans,0
ANH08270333,cash loans,0
ANH72980247,cash loans,0
ANI06388094,cash loans,0
ANI19535723,cash loans,0
ANI26577133,cash loans,0
ANJ48733364,cash loans,0
ANJ48892084,cash loans,0
ANL18174814,cash loans,0
ANL36532670,cash loans,0
ANM45199967,cash loans,0
ANM62041400,cash loans,0
ANN31619071,revolving loans,0
ANN45460954,cash loans,0
ANN60888421,cash loans,0
ANO21291605,cash loans,0
ANO23563284,cash loans,0
ANO40536755,cash loans,0
ANP62601943,cash loans,0
ANP85042013,cash loans,0
ANP87937066,cash loans,0
ANQ82595074,cash loans,0
ANR31837707,cash loans,0
ANR56033516,cash loans,0
ANR91551947,revolving loans,0
ANS07348895,cash loans,0
ANS34457948,cash loans,0
ANS66201711,cash loans,0
ANS67544488,cash loans,0
ANS79339703,cash loans,0
ANT27760887,cash loans,0
ANT72011805,revolving loans,0
ANT76033648,cash loans,0
ANU23017777,cash loans,0
ANU31950818,cash loans,1
ANU60985680,cash loans,0
ANU62448670,revolving loans,0
ANV36081339,cash loans,0
ANV79838297,cash loans,0
ANW29502816,cash loans,0
ANW88307494,cash loans,0
ANW99176267,cash loans,0
ANX37440558,cash loans,0
ANY03913093,cash loans,0
ANY47075373,cash loans,0
ANZ26379677,cash loans,0
ANZ48017223,cash loans,0
ANZ62750413,revolving loans,0
ANZ89175695,cash loans,0
AOB00839152,cash loans,0
AOB08041346,cash loans,0
AOB92148252,cash loans,0
AOC17965441,cash loans,0
AOD05396181,cash loans,0
AOD71503301,cash loans,0
AOD78521629,revolving loans,0
AOE04704098,cash loans,0
AOE64683281,cash loans,0
AOE65504238,cash loans,0
AOF11168776,cash loans,0
AOF15448889,cash loans,0
AOF59152088,cash loans,0
AOF75578282,cash loans,0
AOF82975549,cash loans,0
AOG71479510,cash loans,0
AOH47212376,cash loans,0
AOH72189275,cash loans,0
AOH80551894,cash loans,0
AOH92443153,cash loans,0
AOI98785991,cash loans,0
AOJ06800164,cash loans,0
AOJ43108894,cash loans,0
AOK39214540,revolving loans,0
AOK48241532,revolving loans,0
AOK50548954,cash loans,0
AOK97301835,cash loans,0
AOL47071100,cash loans,0
AOL63372570,cash loans,0
AOL70087122,cash loans,0
AOL93720201,cash loans,0
AOM49807912,cash loans,0
AOM97710347,cash loans,0
AON24144670,cash loans,0
AON46801891,revolving loans,0
AON61243716,cash loans,0
AON70507703,cash loans,0
AOO20432380,cash loans,0
AOO70427546,cash loans,0
AOP62140678,cash loans,0
AOQ65424969,cash loans,0
AOR04048805,cash loans,0
AOR18636031,cash loans,0
AOS57879816,cash loans,0
AOS77706855,revolving loans,0
AOT28792740,cash loans,0
AOT96621289,cash loans,0
